profil,vitesse_ms,angle_deg,CL,CD,pression_PSI
NACA-0012,14.2,1,0.029125086,-0.0031380137,
NACA-0012,14.2,1.5,0.033603426,-0.0031348375,
NACA-0012,14.2,2,0.038081765,-0.0031316614,
NACA-0012,14.2,2.5,0.042560104,-0.0031284853,
NACA-0012,14.2,3,0.047038444,-0.0031253092,
NACA-0012,14.2,3.5,0.051516783,-0.003122133,
NACA-0012,14.2,4,0.055995122,-0.0031189569,
NACA-0012,14.2,4.5,0.060473462,-0.0031157808,
NACA-0012,14.2,5,0.064951801,-0.0031126046,
NACA-0012,14.2,5.5,0.06943014,-0.0031094285,
NACA-0012,14.2,6,0.07390848,-0.0031062524,
NACA-0012,14.2,6.5,0.078386819,-0.0031030763,
NACA-0012,14.2,7,0.082865158,-0.0030999001,
NACA-0012,14.2,7.5,0.087343498,-0.003096724,
NACA-0012,14.2,8,0.085854688,-0.0046649368,
NACA-0012,14.2,8.5,0.084365878,-0.0062331496,
NACA-0012,14.2,9,0.082877069,-0.0078013624,
NACA-0012,14.2,9.5,0.081388259,-0.0093695752,
NACA-0012,14.2,10,0.07989945,-0.010937788,
NACA-0012,14.2,10.5,0.07841064,-0.012506001,
NACA-0012,14.2,11,0.07692183,-0.014074214,
NACA-0012,14.2,11.5,0.075433021,-0.015642426,
NACA-0012,14.2,12,0.079006164,-0.016198249,
NACA-0012,14.2,12.5,0.082579307,-0.016754071,
NACA-0012,14.2,13,0.080991243,-0.017111385,
NACA-0012,14.2,13.5,0.07940318,-0.0174687,
